Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-07-08,45.818,41.5,45.7285,45.818,45.64,45.817,14032.12043965
2017-07-09,46.948,44.428,44.9695,45.095,44.851,45.088,6055.33653405
2017-07-10,44.886,39.46,39.7705,39.46,39.487,40.054,10418.33920714
2017-07-11,41.0,35.01,37.0085,36.914,36.88,37.137,20201.71443115
2017-07-12,44.659,35.034,39.7385,39.764,39.713,39.764,24866.96375561
2017-07-13,40.5,36.889,38.2345,38.63,38.057,38.412,9436.43860935
2017-07-14,38.25,34.08,34.9635,34.973,34.834,35.093,10053.24719476
2017-07-15,35.916,31.31,32.872,32.79,32.79,32.954,11884.62120824
2017-07-16,32.958,28.0,29.821,29.744,29.702,29.94,28665.25490248
2017-07-17,34.99,29.262,34.7085,34.498,34.64,34.777,16487.60747617
2017-07-18,37.789,32.682,36.1425,35.988,35.998,36.287,13526.03247098
2017-07-19,37.6,33.985,35.4075,35.4,35.117,35.698,7420.94649126
2017-07-20,41.02,34.492,40.2735,40.38,39.925,40.622,17279.73709116
2017-07-21,41.724,39.42,40.763,40.6,40.648,40.878,10143.98633669
2017-07-22,44.659,40.0,44.4755,44.45,44.401,44.55,11028.3684061
2017-07-23,44.99,41.418,42.391,42.638,42.222,42.56,11088.51638556
2017-07-24,45.9,41.507,44.9695,45.25,44.619,45.32,8427.09226806
2017-07-25,46.0,38.071,40.1665,39.986,39.986,40.347,11763.77458376
2017-07-26,48.5,38.454,45.327,45.65,44.857,45.797,31215.9843962
2017-07-27,47.713,43.526,45.8155,45.869,45.731,45.9,24699.36624072
2017-07-28,45.99,41.558,43.397,43.266,43.269,43.525,13815.97632725
2017-07-29,44.374,42.107,43.833,43.677,43.681,43.985,3746.26276637
2017-07-30,44.185,39.539,39.816,39.738,39.739,39.893,12609.77215051
2017-07-31,40.991,38.998,39.7915,39.578,39.597,39.986,7883.33493988
2017-08-01,45.4,39.6,44.1955,44.0,44.001,44.39,16929.09458494
2017-08-02,44.507,42.549,43.627,43.87,43.235,44.019,5263.9177498
2017-08-03,44.4,43.019,43.845,43.945,43.69,44.0,4802.49839391
2017-08-04,45.186,43.022,44.882,44.868,44.868,44.896,4699.65517639
2017-08-05,49.99,44.839,48.558,48.282,48.324,48.792,22556.63683321
2017-08-06,49.99,47.285,48.037,48.163,47.911,48.163,7912.12150623
2017-08-07,49.9,47.313,49.6755,49.704,49.65,49.701,6245.36746571
2017-08-08,53.0,49.011,52.0885,52.172,52.005,52.172,16776.18810615
2017-08-09,53.43,48.596,49.5825,49.939,49.277,49.888,14633.81102428
2017-08-10,51.304,49.193,49.878,49.731,49.73,50.026,9047.36778102
2017-08-11,51.35,48.603,51.225,51.0,51.096,51.354,7164.59824572
2017-08-12,51.59,45.51,49.433,49.13,49.303,49.563,13013.00506963
2017-08-13,50.138,45.0,47.7705,48.0,47.542,47.999,17271.83382238
2017-08-14,49.686,46.03,49.4265,49.458,49.237,49.616,12579.86053063
2017-08-15,50.35,45.0,49.005,49.0,49.0,49.01,21081.88537324
2017-08-16,49.199,47.0,48.1875,48.381,47.931,48.444,8626.6887247
2017-08-17,49.47,46.812,48.174,48.22,47.926,48.422,10412.46408594
2017-08-18,49.12,45.5,46.9385,46.684,46.701,47.176,12855.42265329
2017-08-19,58.499,46.601,56.508,56.542,56.307,56.709,46468.0507188
2017-08-20,57.0,51.9,55.379,55.234,55.238,55.52,18272.83900178
2017-08-21,99.0,52.504,75.1075,75.0,74.433,75.782,248358.64583759
2017-08-22,96.675,71.253,90.6105,90.818,90.403,90.818,178311.66642725
2017-08-23,100.39,85.0,89.67,89.401,89.4,89.94,134252.21626364
2017-08-24,94.0,79.01,85.3935,85.325,84.958,85.829,93808.44666858
2017-08-25,107.78,83.349,106.09,105.79,105.79,106.39,115382.8568389
2017-08-26,148.9,103.64,138.135,138.08,138.11,138.16,315690.29508024
2017-08-27,139.45,124.0,130.25,130.01,130.11,130.39,85347.7965341
2017-08-28,154.99,127.79,141.63,141.21,141.02,142.24,199369.63542886
2017-08-29,147.0,127.0,134.005,134.0,134.0,134.01,81756.58291803
2017-08-30,135.0,122.11,133.815,133.75,133.75,133.88,59753.60964703
2017-08-31,143.92,132.18,142.175,142.55,142.08,142.27,55703.04844789
2017-09-01,153.5,135.5,141.76,141.96,141.52,142.0,89868.44995221
2017-09-02,144.98,118.45,122.4,122.29,122.32,122.48,82431.2665591
2017-09-03,130.16,110.99,124.745,124.8,124.59,124.9,78896.93413436
2017-09-04,128.83,99.995,107.74,107.51,107.52,107.96,102248.8042842
2017-09-05,119.99,94.1,119.16,119.51,118.99,119.33,95561.22349393
2017-09-06,124.59,113.7,123.95,124.22,123.72,124.18,49555.44739571
2017-09-07,124.6,116.4,123.18,122.99,123.04,123.32,36551.37124268
2017-09-08,135.81,110.5,117.46,117.19,117.26,117.66,82453.63892749
2017-09-09,119.19,111.33,115.905,116.0,115.81,116.0,30132.25814029
2017-09-10,117.34,103.0,113.61,114.0,113.39,113.83,52392.65615654
2017-09-11,116.1,109.07,112.505,112.5,112.5,112.51,19985.28639817
2017-09-12,116.49,108.15,112.44,112.56,112.09,112.79,37909.4592811
2017-09-13,112.44,101.06,111.265,111.16,111.15,111.38,64796.76149059
2017-09-14,119.9,88.815,89.2255,89.474,89.013,89.438,99083.83272106
2017-09-15,104.99,61.5,101.635,101.9,101.52,101.75,143717.61949434
2017-09-16,105.0,92.061,96.9465,96.938,96.896,96.997,33847.18641648
2017-09-17,97.141,89.002,94.768,94.721,94.586,94.95,23858.2329088
2017-09-18,103.31,93.727,101.36,101.4,101.25,101.47,48751.63523359
2017-09-19,102.63,93.632,97.376,97.368,97.347,97.405,20635.28963049
2017-09-20,100.31,92.369,96.91,96.768,96.901,96.919,21346.76919164
2017-09-21,96.903,84.001,86.457,86.353,86.391,86.523,24857.57883507
2017-09-22,89.881,83.869,87.271,87.069,87.08,87.462,13477.78648445
2017-09-23,92.48,86.46,91.3385,91.322,91.234,91.443,17009.58818629
2017-09-24,92.087,87.42,89.879,89.657,89.813,89.945,12613.25741045
2017-09-25,95.0,89.0,94.053,94.0,94.0,94.106,25746.85828528
2017-09-26,95.817,91.59,93.483,93.531,93.435,93.531,16978.25697525
2017-09-27,105.0,93.131,101.585,101.72,101.46,101.71,47175.27611133
2017-09-28,102.89,95.887,97.8485,97.647,97.848,97.849,32858.77192145
2017-09-29,98.987,91.23,95.0625,95.301,94.938,95.187,33056.04894372
2017-09-30,97.001,94.124,96.739,96.587,96.577,96.901,10413.29275342
2017-10-01,96.9,91.665,94.107,93.956,93.968,94.246,14512.30832402
2017-10-02,94.52,90.836,91.4,91.681,91.395,91.405,16824.66133547
2017-10-03,95.298,87.0,93.8835,93.666,93.666,94.101,31134.45453797
2017-10-04,94.045,88.26,90.1405,90.058,90.0,90.281,24994.65113697
2017-10-05,92.452,86.968,91.7365,91.841,91.632,91.841,14446.72343676
2017-10-06,93.0,90.399,90.578,90.885,90.487,90.669,11566.01378199
2017-10-07,92.629,88.616,92.5185,92.57,92.477,92.56,11067.66233594
2017-10-08,92.56,89.75,90.1525,90.017,90.021,90.284,12506.70144443
2017-10-09,90.952,82.056,86.1535,86.317,86.046,86.261,23700.58859282
2017-10-10,88.487,84.0,86.482,86.565,86.396,86.568,17230.20712289
2017-10-11,88.557,85.701,87.913,87.9,87.9,87.926,9986.02216184
2017-10-12,89.898,85.277,86.515,86.443,86.434,86.596,19538.92392596
2017-10-13,98.087,85.012,95.332,95.418,95.297,95.367,84502.33276443
2017-10-14,99.927,93.5,99.5205,99.401,99.402,99.639,26506.18701513
2017-10-15,103.54,91.246,94.598,94.806,94.389,94.807,48412.46620191
2017-10-16,98.702,92.877,95.606,95.686,95.54,95.672,18448.97015944
2017-10-17,97.993,90.39,90.6685,90.406,90.406,90.931,28941.30321282
2017-10-18,91.465,85.801,89.311,89.376,89.307,89.315,25861.91087782
2017-10-19,92.59,87.491,89.442,89.524,89.278,89.606,17959.82040411
2017-10-20,93.239,87.558,90.299,89.959,90.15,90.448,23052.35461524
2017-10-21,90.455,82.1,88.6635,88.859,88.47,88.857,22788.03797535
2017-10-22,89.246,84.856,85.8955,85.93,85.8,85.991,21392.63388178
2017-10-23,87.1,81.516,85.057,85.302,84.812,85.302,25324.24568172
2017-10-24,92.078,81.799,88.7305,88.68,88.562,88.899,36150.26175713
2017-10-25,95.0,85.11,88.0915,88.396,87.947,88.236,56220.06852574
2017-10-26,89.947,86.673,88.4265,88.276,88.279,88.574,10554.10697934
2017-10-27,89.0,86.0,86.6125,86.852,86.361,86.864,16059.28847332
2017-10-28,87.5,84.854,85.382,85.517,85.134,85.63,12548.68609873
2017-10-29,91.322,85.249,89.5015,89.5,89.4,89.603,19571.67472855
2017-10-30,90.998,87.904,88.35,88.191,88.171,88.529,16312.34466844
2017-10-31,89.48,87.448,87.695,87.626,87.626,87.764,14951.30139126
2017-11-01,88.19,84.352,84.4855,84.352,84.352,84.619,23146.67313168
2017-11-02,86.88,78.62,84.057,84.183,83.999,84.115,53897.5572479
2017-11-03,90.0,82.24,87.67,87.529,87.529,87.811,49756.90718769
2017-11-04,88.489,85.01,86.9165,86.681,86.775,87.058,23014.3972736
2017-11-05,88.3,85.62,86.065,86.31,85.84,86.29,15187.31068231
2017-11-07,101.74,85.323,101.175,101.47,100.88,101.47,150521.34776542
2017-11-08,104.03,93.01,98.51,98.512,98.398,98.622,125464.60474093
2017-11-09,116.5,98.0,112.75,112.96,112.53,112.97,109036.77881617
2017-11-10,123.23,110.17,120.78,121.64,120.04,121.52,87127.57286849
2017-11-11,121.87,100.01,104.61,104.62,104.6,104.62,108125.01200051
2017-11-12,128.0,100.42,118.895,118.65,118.79,119.0,142661.03037599
2017-11-13,138.0,108.0,124.885,124.88,124.88,124.89,169584.12650088
2017-11-14,134.87,116.22,122.22,122.06,122.07,122.37,90334.02755361
2017-11-15,123.08,116.05,121.315,121.0,121.22,121.41,32795.69720225
2017-11-16,123.95,117.01,120.725,120.46,120.47,120.98,43532.43635836
2017-11-17,128.37,118.13,120.415,120.22,120.23,120.6,62466.80174518
2017-11-18,126.5,118.53,126.34,126.18,126.18,126.5,44595.21330606
2017-11-19,134.83,122.64,130.64,130.81,130.45,130.83,57440.23644328
2017-11-20,133.81,126.93,129.53,129.7,129.39,129.67,33451.39198983
2017-11-21,142.5,127.99,136.87,137.27,136.51,137.23,55870.79875005
2017-11-22,143.49,127.72,141.75,141.84,141.65,141.85,72504.09624071
2017-11-23,173.4,136.26,165.685,165.43,165.43,165.94,181753.52736155
2017-11-24,173.88,154.61,157.165,157.01,157.02,157.31,101665.93274804
2017-11-25,162.7,153.23,158.345,158.33,158.33,158.36,49718.62977711
2017-11-27,168.51,157.76,162.5,162.73,162.26,162.74,43222.52905136
2017-11-28,173.19,157.89,172.915,172.97,172.86,172.97,64884.56715332
2017-11-29,197.0,170.03,196.995,196.99,196.99,197.0,153397.54713248
